artistName,spotifyName,imageUrl,genres,spotifyUrl
Duran Duran,Duran Duran,https://i.scdn.co/image/ab6761610000e5eb47f63876040bae5c16a28832,"['album rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'synthpop']",https://open.spotify.com/artist/0lZoBs4Pzo7R89JM9lxwoT
Morcheeba,Morcheeba,https://i.scdn.co/image/ab6761610000e5eb36946a718b9ab08ca42b43f6,"['downtempo', 'electronica', 'trip hop']",https://open.spotify.com/artist/6bWxFw65IEJzBYjx3SxUXd
Air,Air,https://i.scdn.co/image/ab6761610000e5ebb3f06b20f1391c3d1b2c14e7,"['ambient pop', 'downtempo', 'electronica', 'indietronica', 'trip hop']",https://open.spotify.com/artist/1P6U1dCeHxPui5pIrGmndZ
Hooverphonic,Hooverphonic,https://i.scdn.co/image/ab6761610000e5eb1f66a237db39260155162f93,"['downtempo', 'electronica', 'trip hop']",https://open.spotify.com/artist/5EP020iZcwBqHRnJftibXX
Kylie Minogue,Kylie Minogue,https://i.scdn.co/image/ab6761610000e5eb8fba8ba5daf99cad45ca354b,"['australian dance', 'australian pop', 'dance pop', 'eurodance', 'new wave pop']",https://open.spotify.com/artist/4RVnAU35WRWra6OZ3CbbMA
Daft Punk,Daft Punk,https://i.scdn.co/image/ab6761610000e5eba7bfd7835b5c1eee0c95fa6e,"['electro', 'filter house', 'rock']",https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi
Thievery Corporation,Thievery Corporation,https://i.scdn.co/image/ab6761610000e5eb3d9378b0995517ff9f4f2354,"['downtempo', 'electronica', 'livetronica', 'trip hop']",https://open.spotify.com/artist/25KNo5GDS6ZpLkjasaecA3
Goldfrapp,Goldfrapp,https://i.scdn.co/image/ab6761610000e5eb242b3af6c6d4d944ff8739a2,"['alternative dance', 'art pop', 'electronica', 'indietronica', 'neo-synthpop', 'trip hop']",https://open.spotify.com/artist/5BKsn7SCN2XmbF7apdCpRS
New Order,New Order,https://i.scdn.co/image/ab6761610000e5eba080a8e96758f416301578f9,"['dance rock', 'madchester', 'new romantic', 'new wave', 'permanent wave', 'post-punk', 'synthpop', 'uk post-punk']",https://open.spotify.com/artist/0yNLKJebCb8Aueb54LYya3
Matt Bianco,Matt Bianco,https://i.scdn.co/image/ab6761610000e5eb7c3b6efdfc00c1c61845781a,['sophisti-pop'],https://open.spotify.com/artist/1WQky50vkzSvSCUl0ejWqb
